Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-26178,AADHAR HEALTH INSTITUTE,Haryana,Hisar,2015,Urban,Institutes under Ministries,Private Un-Aided
S-8921,ACADEMY OF CARVER AVIATION PUNE,Maharashtra,Pune,1995,Rural,Institutes under Ministries,Private Un-Aided
S-25984,"ADVANCED CENTRE FOR TREATMENT, RESEARCH AND EDUCATION IN CANCER",Maharashtra,Raigad,2002,Urban,Institutes under Ministries,Central Government
S-26363,AEROSPACE RESEARCH AND DEVELOPMENT CENTRE,West Bengal,North 24 Parganas,2021,Rural,Institutes under Ministries,Private Un-Aided
S-8969,AIRCRAFT MAINTENANCE & ENGINEERING INSTITUTE KOLKATA,West Bengal,Kolkata,2002,Urban,Institutes under Ministries,Private Un-Aided
S-8968,AIR TECHNICAL TRAINING INSTITUTE KOLKATA,West Bengal,North 24 Parganas,2013,Urban,Institutes under Ministries,Private Un-Aided
S-19422,ALCHEMIST AVIATION PVT LTD,Jharkhand,East Singhbum,1994,Urban,Institutes under Ministries,Private Aided (Government Aided)
S-22383,ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT,Maharashtra,Mumbai,-,Urban,Institutes under Ministries,Private Un-Aided
S-8966,ALPINE INSTITUTE OF AERONAUTICS DEHRADUN,Uttarakhand,Dehradun,2007,Rural,Institutes under Ministries,Private Un-Aided
S-26945,APPAREL TRAINING AND DESIGN CENTRE,Haryana,Gurugram,1991,Urban,Institutes under Ministries,Central Government
S-8897,"ARUN JAITLEY NATIONAL INSTITUTE OF FINANCIAL MANAGEMENT, FARIDABAD",Haryana,Faridabad,-,Urban,Institutes under Ministries,Central Government
S-19421,BAGDEVI GROUP OF INSTITUTION,West Bengal,Paschim Medinipur,2018,Rural,Institutes under Ministries,Private Un-Aided
S-18691,Bharadwaj Institute Educational Charitable Trust,Kerala,Malappuram,2005,Urban,Institutes under Ministries,Private Aided (Government Aided)
S-8866,BHARAT INSTITUTE OF AERONAUTICS PATNA,Bihar,Patna,1999,Urban,Institutes under Ministries,Private Un-Aided
S-8970,CAMELLIA INSTITUTE OF AVIATION KOLKATA,West Bengal,Kolkata,2007,Urban,Institutes under Ministries,Private Un-Aided
S-18530,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,Karnataka,Mysuru,1991,Urban,Institutes under Ministries,Central Government
S-26260,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,Uttar Pradesh,Ayodhya,2025,Urban,Institutes under Ministries,Central Government
S-24829,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY BHAGALPUR,Bihar,Bhagalpur,-,Urban,Institutes under Ministries,Central Government
S-19405,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY (CIPET)  AGARTALA,Tripura,West Tripura,2017,Rural,Institutes under Ministries,Central Government
S-18127,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY KORBA,Chhattisgarh,Korba,2018,Urban,Institutes under Ministries,Central Government
S-21128,"CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY, VARANASI",Uttar Pradesh,Varanasi,-,Rural,Institutes under Ministries,Central Government
S-15035,"Central Institute of Petrochemicals Engineering & Technology (CIPET), Madurai",Tamil Nadu,Madurai,2010,Rural,Institutes under Ministries,Central Government
S-19061,"Central Institute of Petrochemicals Engineering & Technology (CIPET), Ranchi",Jharkhand,Ranchi,2017,Urban,Institutes under Ministries,Central Government
S-1715,CENTRAL INSTITUTE OF PLASTIC ENGG. & TECHNOLOGY IMPHAL,Manipur,Imphal West,1988,Rural,Institutes under Ministries,Central Government
S-19106,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY VIJAYAWADA,Andhra Pradesh,Krishna,2015,Rural,Institutes under Ministries,Central Government
S-14536,"CENTRAL INSTITUTE OF PLASTICS ENGINEERING & TECHNOLOGY (CIPET), AMRITSAR",Punjab,Amritsar,1989,Urban,Institutes under Ministries,Central Government
S-19423,CENTRAL TRAINING ESTABLISHMENT AIR INDIA LTD,Telangana,Hyderabad,-,Urban,Institutes under Ministries,Central Government
S-25921,CENTRE FOR HERITAGE STUDIES,Kerala,Ernakulam,2000,Urban,Institutes under Ministries,State Government
S-17871,"CIPET CENTRE FOR SKILLING AND TECHNICAL SUPPORT (CSTS), DEHRADUN",Uttarakhand,Dehradun,2018,Rural,Institutes under Ministries,Central Government
S-18693,CIPET  CSTS  BADDI,Himachal Pradesh,Solan,2015,Urban,Institutes under Ministries,Central Government
S-26952,"CIVIL HOSPITAL, NIT, FARIDABAD",Haryana,Faridabad,2020,Urban,Institutes under Ministries,Central Government
S-21322,"CO OPERATIVE TRAINING CENTER, KARANI, WAYANAD",Kerala,Wayanad,-,Rural,Institutes under Ministries,State Government
S-21325,COOPERATIVE TRAINING CENTER KOTTARAKKARA,Kerala,Kollam,1982,Rural,Institutes under Ministries,State Government
S-21323,"COOPERATIVE TRAINING CENTER, KOZHIKODE",Kerala,Kozhikode,1962,Urban,Institutes under Ministries,State Government
S-21321,"COOPERATIVE TRAINING CENTER, NAGAMPADOM,KOTTAYAM",Kerala,Kottayam,1980,Urban,Institutes under Ministries,State Government
S-21328,"COOPERATIVE TRAINING CENTER, NORTH PARAVUR, ERANAKULAM",Kerala,Ernakulam,2009,Rural,Institutes under Ministries,State Government
S-21318,COOPERATIVE TRAINING CENTRE ARANMULA,Kerala,Pathanamthitta,2007,Rural,Institutes under Ministries,State Government
S-21324,"CO OPERATIVE TRAINING CENTRE, CHERTHALA",Kerala,Alappuzha,1982,Urban,Institutes under Ministries,State Government
S-21327,CO OPERATIVE TRAINING CENTRE KANNUR,Kerala,Kannur,-,Urban,Institutes under Ministries,State Government
S-21015,COOPERATIVE TRAINING CENTRE   MUNNAD,Kerala,Kasaragod,-,Rural,Institutes under Ministries,State Government
S-21483,COOPERATIVE TRAINING CENTRE NEDUMKANDAM,Kerala,Idukki,-,Rural,Institutes under Ministries,State Government
S-21016,COOPERATIVE TRAINING CENTRE PALAKKAD,Kerala,Palakkad,-,Urban,Institutes under Ministries,State Government
S-21316,"CO OPERATIVE TRAINING CENTRE,THIRUVANANTHAPURAM",Kerala,Thiruvananthapuram,1962,Urban,Institutes under Ministries,State Government
S-21315,"COOPERATIVE TRAINING CENTRE, THRISSUR",Kerala,Thrissur,-,Urban,Institutes under Ministries,State Government
S-21779,COOPERATIVE TRAINING COLLEGE CHERTHALA,Kerala,Alappuzha,-,Urban,Institutes under Ministries,State Government
S-21637,"CO OPERATIVE TRAINING COLLEGE,KANHANGAD",Kerala,Kasaragod,-,Urban,Institutes under Ministries,State Government
S-21780,"CO OPERATIVE TRAINING COLLEGE, KOTTARAKKARA, KOLLAM",Kerala,Kollam,-,Rural,Institutes under Ministries,State Government
S-21638,"COOPERATIVE TRAINING COLLEGE, KOZHIKODE",Kerala,Kozhikode,-,Urban,Institutes under Ministries,State Government
S-21332,"CO OPERATIVE  TRAINING COLLEGE , KURAVANKONAM , THIRUVANANTHAPURAM",Kerala,Thiruvananthapuram,-,Urban,Institutes under Ministries,State Government
S-21639,"COOPERATIVE TRAINING COLLEGE, PALAKKAD, OPPOSITE PMG HIGH SCHOOL, PALAKKAD MUNCIPALITY",Kerala,Palakkad,-,Rural,Institutes under Ministries,State Government
S-21320,CO  OPERATIVE TRAINING COLLEGE  THALASSERY,Kerala,Kannur,1987,Urban,Institutes under Ministries,State Government
S-21640,"COOPERATIVE TRAINING COLLEGE, THRISSUR",Kerala,Thrissur,-,Urban,Institutes under Ministries,State Government
S-21317,COOPERATIVE TRAINING COLLEGE TIRUR,Kerala,Malappuram,-,Urban,Institutes under Ministries,State Government
S-25922,CSIR NATIONAL CHEMICAL LABORATORY ,Maharashtra,Pune,1950,Urban,Institutes under Ministries,Central Government
S-26108,CSIR NATIONAL INSTITUTE OF SCIENCE COMMUNICATION AND POLICY RESEARCH ,Delhi,West,2021,Urban,Institutes under Ministries,Central Government
S-26361,CSIR-NATIONAL PHYSICAL LABORATORY,Delhi,West,1950,Urban,Institutes under Ministries,Central Government
S-21028,ESTUARINE BIOLOGY REGIONAL CENTRE ZOOLOGICAL SURVEY OF INDIA,Odisha,Ganjam,1980,Rural,Institutes under Ministries,Central Government
S-14559,"GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, KOTWALI, MALDA",West Bengal,Malda,2010,Rural,Institutes under Ministries,Central Government
S-26921,GOVERNMENT MULTI SPECIALITY HOSPITAL CHANDIGARH,Chandigarh,Chandigarh,1956,Urban,Institutes under Ministries,State Government
S-16234,Haryana Institute of Civil Aviation,Haryana,Karnal,-,Urban,Institutes under Ministries,State Government
S-24449,HERITAGE AVIATION PVT LTD    ,Uttarakhand,Dehradun,-,Urban,Institutes under Ministries,Private Un-Aided
S-26113,ICAR NATIONAL INSTITUTE OF AGRICULTURAL ECONOMICS AND POLICY RESEARCH,Delhi,Central,1991,Urban,Institutes under Ministries,Central Government
S-26109,ICMR NATIONAL INSTITUTE FOR RESEARCH IN ENVIRONMENTAL HEALTH,Madhya Pradesh,Bhopal,2010,Urban,Institutes under Ministries,Central Government
S-26112,ICMR-NATIONAL INSTITUTE OF RESEARCH IN TRIBAL HEALTH,Madhya Pradesh,Jabalpur,1984,Urban,Institutes under Ministries,Central Government
S-21333,"ICMR RMRC,NE, DIBRUGARH",Assam,Dibrugarh,-,Rural,Institutes under Ministries,Central Government
S-16931,INDIAN COLLEGE OF PHARMACY,Karnataka,Kalaburagi,2017,Urban,Institutes under Ministries,Private Un-Aided
S-21334,INDIAN CULINARY INSTITUTE,Andhra Pradesh,Tirupati,2014,Rural,Institutes under Ministries,Central Government
S-8889,"INDIAN DIAMOND INSTITUTE, SURAT",Gujarat,Surat,1978,Urban,Institutes under Ministries,Central Government
S-8971,INDIAN INSTITUTE OF AERONAUTICAL SCIENCE KOLKATA,West Bengal,Kolkata,2002,Urban,Institutes under Ministries,Central Government
S-16702,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,Rajasthan,Jodhpur,-,Urban,Institutes under Ministries,Central Government
S-15353,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,West Bengal,Nadia,2009,Rural,Institutes under Ministries,Central Government
S-19477,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY GUWAHATI,Assam,Kamrup Metro,1982,Rural,Institutes under Ministries,Central Government
S-17614,INDIAN INSTITUTE OF PACKAGING,Delhi,East,-,Urban,Institutes under Ministries,Central Government
S-8973,"INDIAN INSTITUTE OF PACKAGING, KOLKATA",West Bengal,Kolkata,1995,Urban,Institutes under Ministries,Central Government
S-14881,"Indian Institute of Plantation Management, Bangalore",Karnataka,Bengaluru Urban,1993,Rural,Institutes under Ministries,Central Government
S-18896,Indian Institute of Tourism  and Travel Management,Odisha,Khordha,1996,Urban,Institutes under Ministries,Central Government
S-574,INDIAN INSTITUTE OF TOURISM AND TRAVEL MANAGEMENT,Andhra Pradesh,Sri Potti Sriramulu Nellore,2011,Rural,Institutes under Ministries,Central Government
S-174,INDIAN INSTITUTE OF TOURISM AND TRAVEL MANAGEMENT,Madhya Pradesh,Gwalior,1983,Urban,Institutes under Ministries,Central Government
S-19744,INDIAN INSTITUTE OF TOURISM AND TRAVEL MANAGEMENT,Goa,North Goa,1983,Urban,Institutes under Ministries,Central Government
S-19747,INDIAN INSTITUTE OF TOURISM AND TRAVEL MANAGEMENT,Uttar Pradesh,Gautam Buddha Nagar,-,Urban,Institutes under Ministries,Central Government
S-1837,INDO GERMAN TOOL ROOM,Maharashtra,Mumbai,1990,Urban,Institutes under Ministries,Central Government
S-18386,INDO SWISS TRAINING CENTRE,Chandigarh,Chandigarh,1963,Urban,Institutes under Ministries,Central Government
S-15087,Institute for Design of Electrical Measuring Instruments,Maharashtra,Mumbai,1969,Urban,Institutes under Ministries,Central Government
S-8930,INSTITUTE OF AIRCRAFT MAINTENANCE ENGINEERING AURANGABAD,Maharashtra,Chhatrapati Sambhajinagar,2008,Urban,Institutes under Ministries,Private Un-Aided
S-8961,INSTITUTE OF AIRCRAFT MAINTENANCE ENGINEERING GORAKHPUR,Uttar Pradesh,Gorakhpur,-,-,Institutes under Ministries,-
S-8881,INSTITUTE OF COMPANY SECRETARIES OF INDIA,Delhi,Central,-,-,Institutes under Ministries,-
S-25690,INSTITUTE OF COOPERATIVE MANAGEMENT,Kerala,Thiruvananthapuram,1976,Urban,Institutes under Ministries,Central Government
S-8974,INSTITUTE OF COST AND WORKS ACOUNTANTS OF INDIA,West Bengal,Kolkata,2002,Urban,Institutes under Ministries,Private Un-Aided
S-24663,INSTITUTE OF DIGITAL EDUCATION AND EMPLOYMENT DEVELOPMENT,Rajasthan,Tonk,-,Urban,Institutes under Ministries,State Government
S-26110,INSTITUTE OF MANAGEMENT IN GOVERNMENT,Kerala,Thiruvananthapuram,1981,Urban,Institutes under Ministries,State Government
S-22582,INSTITUTE OF MARITIME STUDIES,Goa,South Goa,-,Urban,Institutes under Ministries,Central Government
S-26207,ISPAT GENERAL HOSPITAL ROURKELA,Odisha,Sundargarh,1959,Urban,Institutes under Ministries,Central Government
S-8882,J.R.N. INSTITUTE OF AVIATION TECHNOLOGY NEW DELHI,Delhi,West,-,-,Institutes under Ministries,Private Un-Aided
S-24221,KENDRIYA HINDI SANSTHAN MANDAL,Uttar Pradesh,Agra,-,Urban,Institutes under Ministries,Central Government
S-23750,KERALA MEDIA ACADEMY ,Kerala,Ernakulam,1979,Urban,Institutes under Ministries,State Government
S-22717,KERALA STATE ELECTRONICS DEVELOPMENT CORPORATION LTD,Kerala,Thiruvananthapuram,-,Urban,Institutes under Ministries,State Government
S-23484,KERALA STATE RURAL WOMENS ELECTRONICS INDUSTRIAL CO OPERATIVE FEDERATION LIMITED,Kerala,Thiruvananthapuram,2006,Urban,Institutes under Ministries,State Government
S-21891,K R NARAYANAN NATIONAL INSTITUTE OF VISUAL SCIENCE AND ARTS,Kerala,Kottayam,-,Rural,Institutes under Ministries,-
S-16680,Maa Kaamal Medical Center,Gujarat,Surat,2005,Urban,Institutes under Ministries,Private Un-Aided
S-17320,MINORITY COMPUTER INSTITUTE UNDER MINORITY DEVELOPMENT SOCIETY,Uttar Pradesh,Mau,2012,Urban,Institutes under Ministries,Private Aided (Government Aided)
S-19404,MSME TECHNOLOGY CENTRE,Andhra Pradesh,Visakhapatnam,2018,Rural,Institutes under Ministries,Central Government
S-20825,NAGPUR FLYING CLUB,Maharashtra,Nagpur,1992,Urban,Institutes under Ministries,State Government
S-25923,NATIONAL INSTITUTE FOR RUBBER TRAINING,Kerala,Kottayam,2021,Rural,Institutes under Ministries,Central Government
S-20120,NATIONAL INSTITUTE OF FASHION TECHNOLOGY,Jammu and Kashmir,Budgam,2013,Urban,Institutes under Ministries,Central Government
S-15086,National Institute of Occupational Health,Gujarat,Ahmedabad,1966,Urban,Institutes under Ministries,Central Government
S-19746,NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH KOLKATA,West Bengal,Kolkata,2007,Urban,Institutes under Ministries,Central Government
S-17498,National Institute of Pharmaceutical Education and Research (NIPER) - Ahmedabad,Gujarat,Gandhinagar,2007,Urban,Institutes under Ministries,Central Government
S-17656,"NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, RAEBARELI",Uttar Pradesh,Lucknow,-,Urban,Institutes under Ministries,Central Government
S-8883,"NATIONAL  INSTITUTE OF TUBERCULOSIS AND RESPIRATORY DISEASES, NEW DELHI",Delhi,South,-,Urban,Institutes under Ministries,Central Government
S-21127,"NATIONAL POWER TRAINING INSTITUTE, ALAPPUZHA",Kerala,Alappuzha,2020,Rural,Institutes under Ministries,Central Government
S-18150,NATIONAL SCHOOL OF DRAMA (THEATRE-IN-EDUCATION WING),Tripura,West Tripura,2012,Urban,Institutes under Ministries,Central Government
S-8962,"NATIONAL SUGAR INSTITUTE, KANPUR",Uttar Pradesh,Kanpur Nagar,1936,Urban,Institutes under Ministries,Central Government
S-8893,NDC INSTITUTE OF AIRCRAFT MAINTENACE ENGINEERING VADODARA,Gujarat,Vadodara,2008,Rural,Institutes under Ministries,Private Un-Aided
S-8951,NEHRU COLLEGE OF AERONAUTICS & APPLIED SCIENCES COIMBATORE,Tamil Nadu,Coimbatore,1984,Urban,Institutes under Ministries,Private Un-Aided
S-16707,North Eastern Institute of Ayurveda and Homoeopathy,Meghalaya,East Khasi Hills,2012,Rural,Institutes under Ministries,Central Government
S-21487,NSS COOPERATIVE TRAINING COLLEGE,Kerala,Kottayam,-,Urban,Institutes under Ministries,State Government
S-8975,PAILAN AVIATION INSTITUTE KOLKATA,West Bengal,Kolkata,2002,Urban,Institutes under Ministries,Central Government
S-19694,PIONEER FLYING ACADEMY PVT LTD,Uttar Pradesh,Aligarh,2008,Rural,Institutes under Ministries,Private Un-Aided
S-15986,PUNARBASAN- A Centre for Special Education,West Bengal,Malda,2005,Urban,Institutes under Ministries,Private Aided (Government Aided)
S-8934,PUNE INSTITUTE OF AVIATION TECHNOLOGY PUNE,Maharashtra,Pune,2008,Urban,Institutes under Ministries,Private Un-Aided
S-16925,RAGHUNATH AYURVED MAHAVIDYALAYA AND HOSPITAL,West Bengal,Purba Medinipur,2013,Rural,Institutes under Ministries,Private Un-Aided
S-19481,RAJIV GANDHI ACADEMY FOR AVIATION TECHNOLOGY,Kerala,Thiruvananthapuram,1956,Rural,Institutes under Ministries,State Government
S-26618,REGIONAL LABOUR INSTITUTE SHILLONG,Meghalaya,East Khasi Hills,2024,Urban,Institutes under Ministries,Central Government
S-23173,ROOPKALA KENDRO,West Bengal,North 24 Parganas,2002,Urban,Institutes under Ministries,State Government
S-8976,"SATYAJIT RAY FILM AND TELEVISION INSTITUTE, KOLKATA",West Bengal,Kolkata,1995,Urban,Institutes under Ministries,Central Government
S-19482,SCHOOL FOR AIRCRAFT MAINTENANCE ENGINEERING,Uttar Pradesh,Gautam Buddha Nagar,2017,Rural,Institutes under Ministries,Private Un-Aided
S-8945,"SCHOOL OF AERONAUTICS , NEEMRANA ALWAR",Rajasthan,Alwar,2006,Urban,Institutes under Ministries,Private Un-Aided
S-26514,SHA SHIB AVIATION ACADEMY,Kerala,Ernakulam,2007,Rural,Institutes under Ministries,Private Un-Aided
S-8899,STAR AVIATION ACADEMY GURGAON,Haryana,Gurugram,2006,Urban,Institutes under Ministries,Private Un-Aided
S-21319,"T A T M COOPERATIVE TRAINING COLLEGE, PALA",Kerala,Kottayam,2008,Urban,Institutes under Ministries,State Government
S-18342,Telangana State Aviation Academy,Telangana,Hyderabad,-,Urban,Institutes under Ministries,State Government
S-8935,THAKUR INSTITUTE OF AVIATION TECHNOLOGY MUMBAI,Maharashtra,Mumbai,2006,Urban,Institutes under Ministries,Private Un-Aided
S-18895,The Blind Relief Association,Delhi,New Delhi,-,Urban,Institutes under Ministries,Private Un-Aided
S-8953,"THE KALAKSHETRA FOUNDATION, CHENNAI",Tamil Nadu,Chennai,-,Urban,Institutes under Ministries,Central Government
S-22862,THE NATIONAL INSTITUTE OF HEALTH AND FAMILY WELFARE,Delhi,South West,2018,Urban,Institutes under Ministries,Central Government
S-16237,Translational Health Science and Technology Institute,Haryana,Faridabad,2009,Urban,Institutes under Ministries,Central Government
S-8939,UTKAL AEROSPACE AND ENGINEERING BHUBANESWAR,Odisha,Khordha,2006,Rural,Institutes under Ministries,Private Aided (Government Aided)
S-15054,VINAYAKA MISSIONS AVIATION ACADEMY,Tamil Nadu,Salem,2013,Rural,Institutes under Ministries,Private Un-Aided
S-19748,WINGS AVIATION PRIVATE LIMITED,Telangana,Hyderabad,-,Urban,Institutes under Ministries,Private Un-Aided
